step: 5350, t: 1, cfl: 0.21, E: 20.0583, Z: 226.9584, W: -51.2281, walltime: 0.16 min
step: 5375, t: 1, cfl: 0.21, E: 19.9367, Z: 224.5020, W: -77.0721, walltime: 0.16 min
step: 5400, t: 1, cfl: 0.21, E: 19.9794, Z: 226.0623, W: 116.8368, walltime: 0.16 min
step: 5425, t: 1, cfl: 0.21, E: 20.1471, Z: 230.2166, W: -54.6693, walltime: 0.16 min
step: 5450, t: 1, cfl: 0.21, E: 20.1429, Z: 227.9850, W: 6.5631, walltime: 0.16 min
step: 5475, t: 1, cfl: 0.21, E: 20.1329, Z: 227.6846, W: 131.9508, walltime: 0.16 min
step: 5500, t: 1, cfl: 0.20, E: 20.0715, Z: 226.8268, W: 28.6849, walltime: 0.16 min
step: 5525, t: 1, cfl: 0.20, E: 19.8854, Z: 223.4099, W: 23.9628, walltime: 0.16 min
step: 5550, t: 1, cfl: 0.20, E: 19.8188, Z: 222.0766, W: 32.7841, walltime: 0.16 min
step: 5575, t: 1, cfl: 0.20, E: 19.8866, Z: 222.5062, W: 30.7385, walltime: 0.17 min
step: 5600, t: 1, cfl: 0.20, E: 19.8974, Z: 223.3530, W: 31.1392, walltime: 0.17 min
step: 5625, t: 1, cfl: 0.19, E: 19.7804, Z: 221.6513, W: 35.0064, walltime: 0.17 min
step: 5650, t: 1, cfl: 0.19, E: 19.8857, Z: 223.5955, W: 87.4091, walltime: 0.17 min
step: 5675, t: 1, cfl: 0.20, E: 19.8013, Z: 222.6614, W: 194.0229, walltime: 0.17 min
step: 5700, t: 1, cfl: 0.20, E: 19.7501, Z: 221.5348, W: -41.3630, walltime: 0.17 min
step: 5725, t: 1, cfl: 0.20, E: 19.7264, Z: 218.9330, W: 90.4446, walltime: 0.17 min
step: 5750, t: 1, cfl: 0.20, E: 19.7863, Z: 219.2400, W: 81.4196, walltime: 0.17 min
step: 5775, t: 1, cfl: 0.21, E: 19.9828, Z: 222.5727, W: -24.3731, walltime: 0.17 min
step: 5800, t: 1, cfl: 0.21, E: 19.9512, Z: 221.5702, W: 51.0546, walltime: 0.17 min
step: 5825, t: 1, cfl: 0.21, E: 19.9859, Z: 222.3240, W: 28.5122, walltime: 0.17 min
step: 5850, t: 1, cfl: 0.21, E: 20.1709, Z: 226.5854, W: -88.8500, walltime: 0.17 min
step: 5875, t: 1, cfl: 0.21, E: 20.2779, Z: 228.8198, W: 74.9004, walltime: 0.17 min
step: 5900, t: 1, cfl: 0.21, E: 20.3308, Z: 229.7565, W: -9.9686, walltime: 0.17 min
step: 5925, t: 1, cfl: 0.21, E: 20.3389, Z: 228.7466, W: 91.9311, walltime: 0.17 min
step: 5950, t: 1, cfl: 0.21, E: 20.0825, Z: 222.8930, W: -108.5430, walltime: 0.17 min
step: 5975, t: 1, cfl: 0.20, E: 20.1612, Z: 225.6735, W: 14.7507, walltime: 0.17 min
step: 6000, t: 1, cfl: 0.20, E: 20.2737, Z: 229.7089, W: -16.0841, walltime: 0.17 min
step: 6025, t: 1, cfl: 0.20, E: 20.2134, Z: 228.1849, W: 23.6862, walltime: 0.17 min
step: 6050, t: 1, cfl: 0.20, E: 20.2360, Z: 228.3207, W: 4.6460, walltime: 0.18 min
step: 6075, t: 1, cfl: 0.20, E: 20.2975, Z: 229.7245, W: -37.4204, walltime: 0.18 min
step: 6100, t: 1, cfl: 0.20, E: 20.3373, Z: 230.4981, W: 27.5472, walltime: 0.18 min
step: 6125, t: 1, cfl: 0.20, E: 20.4137, Z: 232.6312, W: 76.3431, walltime: 0.18 min
step: 6150, t: 1, cfl: 0.20, E: 20.2798, Z: 227.8753, W: 107.7568, walltime: 0.18 min
step: 6175, t: 1, cfl: 0.20, E: 20.1123, Z: 223.3119, W: -140.3880, walltime: 0.18 min
step: 6200, t: 1, cfl: 0.21, E: 20.2369, Z: 225.7158, W: 35.4202, walltime: 0.18 min
